epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,643.018,0.40515,0.34164,0.97415,0.96367,0.96,0.98387,0.87664,0.45301,0.33757,1.04438,0.000416,0.000416,0.000416
82,650.696,0.39864,0.35606,0.96334,0.95502,0.97052,0.98032,0.8809,0.44087,0.32139,1.04873,0.0003962,0.0003962,0.0003962
83,658.295,0.4096,0.49051,0.96612,0.96716,0.96571,0.98043,0.87329,0.4338,0.30495,1.03306,0.0003764,0.0003764,0.0003764
84,666.222,0.40235,0.32782,0.95687,0.96383,0.96571,0.99105,0.87535,0.46013,0.32869,1.06337,0.0003566,0.0003566,0.0003566
85,673.861,0.3834,0.32939,0.96462,0.95357,0.97714,0.98935,0.8674,0.47432,0.32647,1.10512,0.0003368,0.0003368,0.0003368
86,681.483,0.37346,0.32939,0.95379,0.9719,0.96571,0.98753,0.87374,0.46512,0.31222,1.09156,0.000317,0.000317,0.000317
87,689.418,0.38888,0.31918,0.9634,0.98252,0.96339,0.98789,0.87738,0.45399,0.31148,1.04029,0.0002972,0.0002972,0.0002972
88,697.142,0.39514,0.33472,0.95616,0.98121,0.96,0.9839,0.87344,0.44437,0.31539,1.04768,0.0002774,0.0002774,0.0002774
89,705.081,0.39477,0.31434,0.96263,0.98059,0.96571,0.98847,0.87553,0.45339,0.32157,1.05598,0.0002576,0.0002576,0.0002576
90,712.625,0.40568,0.33366,0.98393,0.97627,0.97714,0.98764,0.88469,0.42295,0.29479,1.03388,0.0002378,0.0002378,0.0002378
91,756.398,0.25799,0.22013,0.85987,0.96628,0.98251,0.98726,0.88017,0.42912,0.29262,1.03621,0.000218,0.000218,0.000218
92,764.559,0.2456,0.20111,0.83948,0.97141,0.97062,0.98595,0.87512,0.43285,0.30939,1.04056,0.0001982,0.0001982,0.0001982
93,772.701,0.24198,0.20274,0.83749,0.96574,0.96637,0.98636,0.87889,0.43557,0.30882,1.0373,0.0001784,0.0001784,0.0001784
94,780.802,0.24914,0.20277,0.84529,0.97538,0.97143,0.98932,0.88749,0.43087,0.29885,1.04239,0.0001586,0.0001586,0.0001586
95,788.682,0.24134,0.20053,0.83731,0.97699,0.97033,0.98777,0.88214,0.43812,0.29027,1.04377,0.0001388,0.0001388,0.0001388
96,796.568,0.24224,0.19546,0.83526,0.96589,0.97073,0.98679,0.88098,0.43838,0.29079,1.05499,0.000119,0.000119,0.000119
97,804.559,0.23426,0.1852,0.84278,0.96483,0.97143,0.98718,0.87991,0.44009,0.29982,1.06253,9.92e-05,9.92e-05,9.92e-05
98,812.787,0.24187,0.19099,0.83929,0.96779,0.97143,0.98676,0.87702,0.44271,0.29955,1.05946,7.94e-05,7.94e-05,7.94e-05
99,820.67,0.23114,0.18838,0.82991,0.9703,0.97143,0.98711,0.88366,0.43681,0.28271,1.05984,5.96e-05,5.96e-05,5.96e-05
100,828.691,0.2233,0.18169,0.82519,0.96961,0.97143,0.9871,0.8815,0.43389,0.29082,1.06191,3.98e-05,3.98e-05,3.98e-05
